location,metric,winery,country,lat,lon
"Paul Hobbs winery ,Russian River Valley, California, US",94.07692307692308,Paul Hobbs,US,38.4401811,-122.8581307
"Paul Hobbs winery ,Sonoma Mountain, California, US",94.33333333333333,Paul Hobbs,US,38.4401811,-122.8581307
"Paul Lato winery ,Sta. Rita Hills, California, US",95.0,Paul Lato,US,34.9118524,-120.4502774
"Quady winery ,Amador County, California, US",95.0,Quady,US,36.939921,-120.1069484
"Quilceda Creek winery ,Columbia Valley (WA), Washington, US",95.0,Quilceda Creek,US,47.9486161,-122.0787733
"Ramey winery ,Carneros, California, US",95.0,Ramey,US,38.6035765,-122.8625648
"Ramey winery ,Oakville, California, US",94.66666666666667,Ramey,US,38.6035765,-122.8625648
"Redmon winery ,St. Helena, California, US",97.0,Redmon,US,38.49991989999999,-122.4562556
"Résonance winery ,McMinnville, Oregon, US",95.0,Résonance,US,45.2907042,-123.2368442
"Saxum winery ,Paso Robles, California, US",94.5,Saxum,US,35.5774373,-120.7796518
"Scaggs Vineyard winery ,Mount Veeder, California, US",95.0,Scaggs Vineyard,US,38.390851,-122.439359
"Schramsberg winery ,Napa-Monterey-Mendocino, California, US",96.0,Schramsberg,US,38.5494815,-122.5378838
"Semper winery ,Russian River Valley, California, US",97.0,Semper,US,38.4836416,-122.8175328
"Semper winery ,Sonoma Coast, California, US",95.0,Semper,US,38.2943713,-122.4587767
"Spottswoode winery ,St. Helena, California, US",96.5,Spottswoode,US,38.50001109999999,-122.4787297
"Staglin winery ,Napa Valley, California, US",96.0,Staglin,US,38.442478,-122.424441
"Tamarack Cellars winery ,Walla Walla Valley (WA), Washington, US",95.0,Tamarack Cellars,US,46.0913232,-118.2721807
"Three Sticks winery ,Santa Maria Valley, California, US",95.0,Three Sticks,US,38.293719,-122.459735
"Venge winery ,Calistoga, California, US",95.0,Venge,US,38.579574,-122.553434
"Verité winery ,Sonoma County, California, US",94.88888888888889,Verité,US,38.6141926,-122.76923
"Wayfarer winery ,Fort Ross-Seaview, California, US",95.33333333333333,Wayfarer,US,38.5142596,-123.2435574
"Yao Ming winery ,Napa Valley, California, US",95.33333333333333,Yao Ming,US,,
