location,metric,winery,country,lat,lon
"Domaine Jean Sipp winery ,Alsace, Alsace, France",4.0,Domaine Jean Sipp,France,48.195386,7.315414000000001
"Domaine Loew winery ,Alsace, Alsace, France",5.0,Domaine Loew,France,48.6018918,7.4431699
"Domaine Marcel Deiss winery ,Alsace, Alsace, France",8.0,Domaine Marcel Deiss,France,48.2048303,7.356338500000001
"Domaine Michel Fonne winery ,Alsace, Alsace, France",6.0,Domaine Michel Fonne,France,48.1443349,7.3247566
"Domaine Moltès winery ,Alsace, Alsace, France",5.0,Domaine Moltès,France,47.983338,7.289172000000001
"Domaine Ostertag winery ,Alsace, Alsace, France",7.0,Domaine Ostertag,France,48.362586,7.452469000000001
"Domaine Pfister winery ,Alsace, Alsace, France",7.0,Domaine Pfister,France,48.5853785,7.5085874
"Domaine Rieflé-Landmann winery ,Alsace, Alsace, France",7.0,Domaine Rieflé-Landmann,France,47.9781717,7.2931287
"Domaine Roland Schmitt winery ,Alsace, Alsace, France",5.0,Domaine Roland Schmitt,France,48.5757708,7.4577272
"Domaine Rolet Père et Fils winery ,Arbois, France Other, France",4.0,Domaine Rolet Père et Fils,France,46.9026477,5.772553500000001
"Domaine Rotier winery ,Gaillac, Southwest France, France",5.0,Domaine Rotier,France,43.8736,1.984388
"Domaine Saint-Rémy winery ,Alsace, Alsace, France",6.0,Domaine Saint-Rémy,France,48.0584989,7.3058403
"Domaine Schoffit winery ,Alsace, Alsace, France",7.0,Domaine Schoffit,France,48.0656159,7.3743246
"Domaine Seilly winery ,Alsace, Alsace, France",4.0,Domaine Seilly,France,48.4610665,7.489668900000001
"Domaine Sipp-Mack winery ,Alsace, Alsace, France",7.0,Domaine Sipp-Mack,France,48.179593,7.307117
"Domaine Specht winery ,Alsace, Alsace, France",4.0,Domaine Specht,France,48.1513895,7.321720399999999
"Domaine Uby winery ,Côtes de Gascogne, Southwest France, France",5.0,Domaine Uby,France,43.92522899999999,-0.025076
"Domaine Vico winery ,Corse, France Other, France",4.0,Domaine Vico,France,42.47166,9.207213
"Domaine Vincent Stoeffler winery ,Alsace, Alsace, France",5.0,Domaine Vincent Stoeffler,France,48.4067277,7.4515243
"Domaine Weinbach winery ,Alsace, Alsace, France",5.0,Domaine Weinbach,France,48.1362394,7.273184000000001
"Domaine Zinck winery ,Alsace, Alsace, France",6.0,Domaine Zinck,France,48.0421963,7.3037319
"Domaine Zind-Humbrecht winery ,Alsace, Alsace, France",6.0,Domaine Zind-Humbrecht,France,48.0838286,7.295687
"Domaine d'Arton winery ,Côtes de Gascogne, Southwest France, France",5.0,Domaine d'Arton,France,43.9402005,0.6727282
"Domaine de Ménard winery ,Côtes de Gascogne, Southwest France, France",8.0,Domaine de Ménard,France,,
"Domaine de l'Herré winery ,Côtes de Gascogne, Southwest France, France",4.0,Domaine de l'Herré,France,43.81380100000001,0.065923
"Domaine de la Bégude winery ,Bandol, Provence, France",4.0,Domaine de la Bégude,France,43.2411543,5.7040394
"Domaine de la Petite Cassagne winery ,Costières de Nîmes, Rhône Valley, France",4.0,Domaine de la Petite Cassagne,France,43.774556,4.3667907
"Domaine de la Tour Blanche winery ,Alsace, Alsace, France",4.0,Domaine de la Tour Blanche,France,48.1659777,7.2969059
"Domaine des Baumard winery ,Crémant de Loire, Loire Valley, France",4.0,Domaine des Baumard,France,47.3564111,-0.6525841
"Domaine des Terrisses winery ,Gaillac, Southwest France, France",5.0,Domaine des Terrisses,France,43.92729,1.8651564
"Domaine du Moulin winery ,Gaillac, Southwest France, France",4.0,Domaine du Moulin,France,43.9289022,1.9090488
"Domaine du Tariquet winery ,Côtes de Gascogne, Southwest France, France",8.0,Domaine du Tariquet,France,43.8533307,0.1686208
"Domaine du Tariquet winery ,Vin de Pays des Côtes de Gascogne, Southwest France, France",6.0,Domaine du Tariquet,France,43.8533307,0.1686208
"Domaines Schlumberger winery ,Alsace, Alsace, France",5.0,Domaines Schlumberger,France,47.91208899999999,7.206303999999999
"Dopff & Irion winery ,Alsace, Alsace, France",10.0,Dopff & Irion,France,48.1658544,7.3038376
"Dopff Au Moulin winery ,Alsace, Alsace, France",4.0,Dopff Au Moulin,France,48.1658544,7.3038376
"Drappier winery ,Champagne, Champagne, France",4.0,Drappier,France,,
"Duval-Leroy winery ,Champagne, Champagne, France",4.0,Duval-Leroy,France,,
"Emile Beyer winery ,Alsace, Alsace, France",4.0,Emile Beyer,France,48.042293,7.308886999999999
"Famille Laplace winery ,Vin de France, France Other, France",4.0,Famille Laplace,France,43.5686384,-0.1188755
"Florent Descombe winery ,Vin de France, France Other, France",8.0,Florent Descombe,France,,
"Fortant winery ,Pays d'Oc, Languedoc-Roussillon, France",4.0,Fortant,France,43.41064739999999,3.703732599999999
