,index,location,points,price,country,polarity
356,356,"Domaine Anne Gros winery ,Clos de Vougeot, Burgundy, France",96,,France,-0.09135802469135802
357,357,"Bouchard Père & Fils winery ,Chambertin Clos de Bèze, Burgundy, France",96,575.0,France,0.22777777777777775
358,358,"Domaine des Lambrays winery ,Clos de Lambrays, Burgundy, France",95,,France,0.3619047619047619
359,359,"Domaine Jayer-Gilles winery ,Echézeaux, Burgundy, France",95,300.0,France,0.17291666666666666
360,360,"Bouchard Père & Fils winery ,Echézeaux, Burgundy, France",95,400.0,France,0.12249999999999998
361,361,"Bouchard Père & Fils winery ,Clos de Vougeot, Burgundy, France",95,200.0,France,0.46071428571428563
362,362,"Clos de Tart winery ,Clos de Tart, Burgundy, France",94,,France,0.22037037037037036
363,363,"Domaine du Comte Liger-Belair winery ,La Romanée, Burgundy, France",94,1125.0,France,-0.06071428571428572
364,364,"Château d'Yquem winery ,Sauternes, Bordeaux, France",97,800.0,France,0.3625
365,365,"Dal Forno Romano winery ,Amarone della Valpolicella, Veneto, Italy",96,470.0,Italy,0.09666666666666668
366,366,"Château d'Yquem winery ,Sauternes, Bordeaux, France",99,,France,0.47738095238095246
367,367,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",99,,France,0.5495238095238095
368,368,"Château Climens winery ,Barsac, Bordeaux, France",98,,France,0.3535714285714286
369,369,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",97,,France,0.40189393939393936
370,370,"Alpha Omega winery ,Atlas Peak, California, US",99,250.0,US,0.24656084656084656
371,371,"Alpha Omega winery ,St. Helena, California, US",98,250.0,US,0.1670995670995671
373,373,"D'Alfonso-Curran winery ,Santa Barbara County, California, US",96,65.0,US,0.3616666666666667
374,374,"Wayfarer winery ,Fort Ross-Seaview, California, US",93,115.0,US,0.18253968253968256
375,375,"Amuse Bouche winery ,Napa Valley, California, US",95,200.0,US,0.4533333333333333
376,376,"Gérard Bertrand winery ,Rivesaltes, Languedoc-Roussillon, France",95,350.0,France,0.06111111111111111
377,377,"Arkenstone winery ,Howell Mountain, California, US",95,120.0,US,0.3614583333333333
378,378,"Arkenstone winery ,Howell Mountain, California, US",94,70.0,US,0.18111111111111114
379,379,"Mascarello Giuseppe e Figlio winery ,Barolo, Piedmont, Italy",96,110.0,Italy,0.2857142857142857
380,380,"Masseto winery ,Toscana, Tuscany, Italy",94,625.0,Italy,0.06256613756613756
381,381,"Verité winery ,Sonoma County, California, US",100,450.0,US,0.2252435064935065
382,382,"Verité winery ,Sonoma County, California, US",97,450.0,US,0.1706060606060606
383,383,"Verité winery ,Sonoma County, California, US",97,450.0,US,0.14236111111111113
385,385,"Horsepower winery ,Walla Walla Valley (WA), Washington, US",97,115.0,US,0.234375
386,386,"Horsepower winery ,Walla Walla Valley (WA), Washington, US",96,115.0,US,0.5041666666666667
387,387,"Horsepower winery ,Walla Walla Valley (WA), Washington, US",96,115.0,US,-0.05
388,388,"Portfolio winery ,Napa Valley, California, US",95,140.0,US,0.10666666666666666
389,389,"Cavallotto winery ,Barolo, Piedmont, Italy",96,,Italy,0.11329966329966329
390,390,"Cavallotto winery ,Barolo, Piedmont, Italy",96,90.0,Italy,0.18209366391184573
391,391,"Mascarello Giuseppe e Figlio winery ,Barolo, Piedmont, Italy",95,113.0,Italy,-0.01571428571428572
392,392,"Casanova di Neri winery ,Brunello di Montalcino, Tuscany, Italy",97,80.0,Italy,0.22142857142857142
393,393,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",96,90.0,France,0.2547619047619048
394,394,"Scaggs Vineyard winery ,Mount Veeder, California, US",95,45.0,US,0.32
395,395,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",95,125.0,France,0.30282738095238093
396,396,"Louis Latour winery ,Chevalier-Montrachet, Burgundy, France",94,320.0,France,0.35892857142857143
397,397,"Crown Point winery ,Happy Canyon of Santa Barbara, California, US",95,185.0,US,0.032812499999999994
398,398,"Colgin winery ,Napa Valley, California, US",99,290.0,US,0.2952777777777778
399,399,"Ovid winery ,Napa Valley, California, US",97,195.0,US,0.3952380952380952
400,400,"Gandona winery ,Napa Valley, California, US",97,190.0,US,0.10924242424242424
401,401,"Bryant Family winery ,Napa Valley, California, US",96,335.0,US,0.09033333333333335
402,402,"Louis Latour winery ,Montrachet, Burgundy, France",97,650.0,France,0.29
403,403,"Louis Latour winery ,Chevalier-Montrachet, Burgundy, France",96,450.0,France,0.13467261904761904
404,404,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",95,105.0,Italy,0.3525
405,405,"Domaine du Comte Liger-Belair winery ,La Romanée, Burgundy, France",95,,France,0.39166666666666666
406,406,"Domaine des Croix winery ,Corton-Charlemagne, Burgundy, France",95,160.0,France,0.08888888888888889
407,407,"Cardinale winery ,Napa Valley, California, US",95,250.0,US,0.29621212121212115
408,408,"François Bertheau winery ,Bonnes-Mares, Burgundy, France",95,,France,0.1565
409,409,"Cavallotto winery ,Barolo, Piedmont, Italy",97,98.0,Italy,0.38020833333333337
411,411,"Cavallotto winery ,Barolo, Piedmont, Italy",95,75.0,Italy,0.33666666666666667
412,412,"Ramey winery ,Oakville, California, US",95,200.0,US,0.1275
413,413,"Herman Story winery ,California, California, US",95,48.0,US,0.05291666666666667
414,414,"Cordant winery ,Santa Maria Valley, California, US",95,42.0,US,-0.09791666666666665
415,415,"Louis Jadot winery ,Corton-Charlemagne, Burgundy, France",96,130.0,France,0.19375000000000003
416,416,"Quilceda Creek winery ,Red Mountain, Washington, US",91,98.0,US,0.002142857142857141
417,417,"Semper winery ,Sonoma Coast, California, US",95,85.0,US,0.5666666666666667
418,418,"Harlan Estate winery ,Napa Valley, California, US",94,500.0,US,0.020670995670995673
419,419,"Colgin winery ,Napa Valley, California, US",94,290.0,US,0.19382284382284384
420,420,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",94,65.0,France,0.31111111111111117
